00648	111.777	0.101495	44.911	1.3619	1.18611e-05	124.936
00719	111.208	0.0965199	45.3958	1.40686	1.21238e-05	124.795
00794	111.041	0.0981989	45.4456	1.38519	1.20031e-05	123.968
00898	112.046	0.100265	44.4368	1.37977	1.1967e-05	124.329
00988	111.58	0.0977267	45.106	1.40072	1.20966e-05	124.534
01036	111.284	0.0994431	45.341	1.37445	1.19237e-05	124.225
01094	112.292	0.0952836	44.3878	1.42659	1.20814e-05	124.682
01141	111.292	0.0933241	44.7839	1.44979	1.24147e-05	124.881
01232	110.588	0.0925624	45.184	1.44421	1.23674e-05	124.674
01325	111.988	0.0994686	45.1077	1.38913	1.20285e-05	124.639
01402	111.026	0.0935736	44.5919	1.44058	1.23554e-05	124.079
01462	110.806	0.0877641	44.8553	1.51717	1.28626e-05	124.706
