00648	111.799	0.0837594	44.8872	1.36162	9.21945e-06	124.936
00719	111.164	0.0797548	45.441	1.40742	9.45841e-06	124.795
00794	111.677	0.082482	44.7897	1.3773	9.30472e-06	123.968
00898	111.893	0.0824521	44.5981	1.38165	9.32523e-06	124.329
00988	111.63	0.0809107	45.0543	1.4001	9.42672e-06	124.534
01036	111.103	0.0817112	45.5255	1.37669	9.28965e-06	124.225
01094	112.255	0.0788155	44.4273	1.42706	9.43808e-06	124.682
01141	111.768	0.078344	44.2826	1.44361	9.67657e-06	124.881
01232	110.794	0.0771599	44.9732	1.44153	9.65564e-06	124.674
01325	111.59	0.0813456	45.5173	1.39408	9.39583e-06	124.639
01402	110.768	0.0770452	44.8595	1.44394	9.67808e-06	124.079
01462	111	0.0734425	44.6541	1.51452	1.00942e-05	124.706
