00648	111.651	0.189362	45.0418	1.36343	2.50247e-05	124.936
00719	109.523	0.169936	47.0546	1.42851	2.54833e-05	124.795
00794	110.667	0.180827	45.8232	1.38987	2.52217e-05	123.968
00898	111.264	0.182705	45.2529	1.38946	2.52097e-05	124.329
00988	111.504	0.181074	45.1846	1.40168	2.53047e-05	124.534
01036	110.062	0.178805	46.5581	1.3897	2.51882e-05	124.225
01094	112.211	0.175677	44.4741	1.42762	2.51339e-05	124.682
01141	111.45	0.172378	44.6193	1.44774	2.56748e-05	124.881
01232	110.124	0.167884	45.6525	1.4503	2.56703e-05	124.674
01325	111.87	0.184534	45.2294	1.39059	2.52297e-05	124.639
01402	111.365	0.174141	44.2354	1.4362	2.55848e-05	124.079
01462	109.749	0.154036	45.9221	1.53179	2.63463e-05	124.706
